iteration,energy_-2.15V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-7.cor_curve_43,energy_-2.15V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-7R4.cor_curve_43,nu
1,402.7728182927042,395.8523611260916,40.91240682324996
2,409.63901735149085,390.23939032079664,40.9458733271976
3,422.28372184251884,380.331198738225,39.82388547027458
4,446.1287173082567,363.01881276790374,34.802662101171144
5,493.7057690163262,333.0032763767879,22.962403367568317
6,600.128889524344,281.56940525715476,9.879868174057737
7,884.596173494806,200.65819198382465,3.134050864243336
8,1900.3272675289447,100.80898738855747,1.000005709133732
9,8178.617436890235,25.14857115747289,1.000005709133732
10,92555.10752330271,1.8250253795640439,1.000005709133732
11,321990.5449424844,0.001307167607974165,1.000005709133732
12,322067.4749609191,1.3572231822520832e-05,1.000005709133732
